channel	source	sample_rate	channels	duration_s	trim_start_s	mean_db	max_db	file
full	mgba	65536	2	40.000000	3.58374	-22.4	-7.1	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/full.wav
full	poryaaaa	44100	2	30.000000	0.0168254	-30.9	-13.6	tools/captures/poryaaaa-render-solos/shop/littleroot_test_full.wav
psg	mgba	65536	2	40.000000	5.6427	-31.3	-17.0	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/psg.wav
psg	poryaaaa	44100	2	30.000000	0.0168254	-52.5	-28.8	tools/captures/poryaaaa-render-solos/shop/littleroot_test_psg.wav
directsound	mgba	65536	2	40.000000	3.58374	-22.2	-7.1	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/directsound.wav
directsound	poryaaaa	44100	2	30.000000	0.0170295	-30.9	-13.6	tools/captures/poryaaaa-render-solos/shop/littleroot_test_directsound.wav
ch1	mgba	65536	2	40.000000	6.671478	-34.5	-23.1	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/ch1.wav
ch1	poryaaaa	44100	2	30.000000	0.0168254	-52.5	-28.8	tools/captures/poryaaaa-render-solos/shop/littleroot_test_ch1.wav
ch2	mgba	65536	2	40.000000	5.6427	-35.9	-20.6	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/ch2.wav
ch2	poryaaaa	44100	2	30.000000	0	-91.0	-91.0	tools/captures/poryaaaa-render-solos/shop/littleroot_test_ch2.wav
wave	mgba	65536	2	40.000000	38.659622	-25.6	-15.7	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/ch3.wav
wave	poryaaaa	44100	2	30.000000	0	-91.0	-91.0	tools/captures/poryaaaa-render-solos/shop/littleroot_test_wave.wav
noise	mgba	65536	2	40.000000	0	-91.0	-91.0	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/ch4.wav
noise	poryaaaa	44100	2	30.000000	0	-91.0	-91.0	tools/captures/poryaaaa-render-solos/shop/littleroot_test_noise.wav
fifo-a	mgba	65536	2	40.000000	3.583878	-28.4	-13.0	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/fifo-a.wav
fifo-a	poryaaaa	44100	2	30.000000	0.0170295	-33.3	-13.6	tools/captures/poryaaaa-render-solos/shop/littleroot_test_fifo-a.wav
fifo-b	mgba	65536	2	40.000000	3.583878	-27.8	-12.2	tools/captures/mgba-headless-channel-mute/reference-wavs/mgba-ss2/fifo-b.wav
fifo-b	poryaaaa	44100	2	30.000000	0.0170295	-34.7	-13.8	tools/captures/poryaaaa-render-solos/shop/littleroot_test_fifo-b.wav
